iter,objective,gap,alpha
349,8.279321e+05,1.212535e-05,0.002399
350,8.279321e+05,1.791161e-05,0.003950
351,8.279320e+05,1.644808e-05,0.003836
352,8.279319e+05,1.297631e-05,0.002628
353,8.279318e+05,1.930750e-05,0.004027
354,8.279318e+05,1.354200e-05,0.002730
355,8.279317e+05,1.475516e-05,0.003087
356,8.279317e+05,1.322185e-05,0.002713
357,8.279316e+05,1.255799e-05,0.002544
358,8.279316e+05,1.483127e-05,0.003121
359,8.279315e+05,1.103619e-05,0.002170
360,8.279314e+05,1.870864e-05,0.004500
361,8.279314e+05,1.493311e-05,0.003063
362,8.279313e+05,1.691186e-05,0.003356
363,8.279312e+05,1.505037e-05,0.003179
364,8.279312e+05,1.531927e-05,0.003308
365,8.279311e+05,1.125252e-05,0.002431
366,8.279311e+05,1.416326e-05,0.002848
367,8.279310e+05,1.595773e-05,0.003624
368,8.279309e+05,1.567311e-05,0.003033
369,8.279308e+05,1.636372e-05,0.003893
370,8.279308e+05,1.269219e-05,0.002517
371,8.279307e+05,1.413673e-05,0.003275
372,8.279307e+05,1.503790e-05,0.002749
373,8.279306e+05,1.459848e-05,0.003560
374,8.279306e+05,1.564321e-05,0.003047
375,8.279305e+05,1.240410e-05,0.002335
376,8.279304e+05,1.590347e-05,0.003976
377,8.279304e+05,1.335285e-05,0.002385
378,8.279303e+05,1.444112e-05,0.003385
379,8.279303e+05,1.455187e-05,0.002775
380,8.279302e+05,1.614968e-05,0.004097
381,8.279301e+05,1.197732e-05,0.002252
382,8.279301e+05,1.859594e-05,0.004010
383,8.279300e+05,1.590638e-05,0.003417
384,8.279299e+05,1.354210e-05,0.002594
385,8.279299e+05,1.491499e-05,0.003429
386,8.279298e+05,1.310988e-05,0.002387
387,8.279298e+05,1.286297e-05,0.003136
388,8.279297e+05,1.390463e-05,0.002684
389,8.279297e+05,1.603168e-05,0.003819
390,8.279296e+05,1.158000e-05,0.001893
391,8.279296e+05,1.319374e-05,0.003156
392,8.279295e+05,1.276253e-05,0.002464
393,8.279295e+05,1.461451e-05,0.003506
394,8.279294e+05,1.579060e-05,0.003073
395,8.279294e+05,1.379489e-05,0.003255
396,8.279293e+05,1.332754e-05,0.002516
397,8.279292e+05,1.406166e-05,0.003261
398,8.279292e+05,1.052578e-05,0.002230
399,8.279291e+05,1.583674e-05,0.003719
